ticker,sector,industry
MERIT,OTELLER VE LOKANTALAR,OTELLER VE LOKANTALAR
MERKO,İMALAT,İMALAT
METRO,,
MEYSU,İMALAT,İMALAT
MGROS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
MHRGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MIATK,TEKNOLOJİ,TEKNOLOJİ
MMCAS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MNDRS,İMALAT,İMALAT
MNDTR,İMALAT,İMALAT
MOBTL,TEKNOLOJİ,TEKNOLOJİ
MOGAN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
MOPAS,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
MPARK,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ,EĞİTİM SAĞLIK SPOR VE EĞLENCE HİZMETLERİ
MRGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MRSHL,İMALAT,İMALAT
MSGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MTRKS,TEKNOLOJİ,TEKNOLOJİ
MTRYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
MZHLD,MALİ KURULUŞLAR,MALİ KURULUŞLAR
NATEN,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
NETAS,TEKNOLOJİ,TEKNOLOJİ
NETCD,TEKNOLOJİ,TEKNOLOJİ
NIBAS,İMALAT,İMALAT
NTGAZ,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
NTHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
NUGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
NUHCM,İMALAT,İMALAT
OBAMS,İMALAT,İMALAT
OBASE,TEKNOLOJİ,TEKNOLOJİ
ODAS,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
ODINE,TEKNOLOJİ,TEKNOLOJİ
OFSYM,İMALAT,İMALAT
ONCSM,İMALAT,İMALAT
ONRYT,TEKNOLOJİ,TEKNOLOJİ
ORCAY,İMALAT,İMALAT
ORGE,İNŞAAT VE BAYINDIRLIK,İNŞAAT VE BAYINDIRLIK
ORMA,İMALAT,İMALAT
OSMEN,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OSTIM,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OTKAR,İMALAT,İMALAT
OTTO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OYAKC,İMALAT,İMALAT
OYAYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OYLUM,İMALAT,İMALAT
OYYAT,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OZATD,İMALAT,İMALAT
OZGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OZKGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
OZRDN,İMALAT,İMALAT
OZSUB,"TARIM, ORMANCILIK VE BALIKÇILIK","TARIM, ORMANCILIK VE BALIKÇILIK"
OZYSR,İMALAT,İMALAT
PAGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
PAHOL,,
PAMEL,ELEKTRİK GAZ VE SU,ELEKTRİK GAZ VE SU
PAPIL,TEKNOLOJİ,TEKNOLOJİ
PARSN,İMALAT,İMALAT
PASEU,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
PATEK,TEKNOLOJİ,TEKNOLOJİ
PCILT,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER","MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER"
PEKGY,MALİ KURULUŞLAR,MALİ KURULUŞLAR
PENGD,İMALAT,İMALAT
PENTA,TEKNOLOJİ,TEKNOLOJİ
PETKM,İMALAT,İMALAT
PETUN,İMALAT,İMALAT
PGSUS,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
PINSU,İMALAT,İMALAT
PKART,TEKNOLOJİ,TEKNOLOJİ
PKENT,,
PLTUR,İDARİ VE DESTEK HİZMET FAALİYETLERİ,İDARİ VE DESTEK HİZMET FAALİYETLERİ
PNLSN,İMALAT,İMALAT
PNSUT,İMALAT,İMALAT
POLHO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
POLTK,İMALAT,İMALAT
PRDGS,MALİ KURULUŞLAR,MALİ KURULUŞLAR
PRKAB,İMALAT,İMALAT
PRKME,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
PRZMA,İMALAT,İMALAT
PSDTC,TOPTAN VE PERAKENDE TİCARET,TOPTAN VE PERAKENDE TİCARET
PSGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
QNBFK,MALİ KURULUŞLAR,MALİ KURULUŞLAR
QNBTR,MALİ KURULUŞLAR,MALİ KURULUŞLAR
QUAGR,İMALAT,İMALAT
RALYH,MALİ KURULUŞLAR,MALİ KURULUŞLAR
RAYSG,MALİ KURULUŞLAR,MALİ KURULUŞLAR
REEDR,TEKNOLOJİ,TEKNOLOJİ
RGYAS,GAYRİMENKUL FAALİYETLERİ,GAYRİMENKUL FAALİYETLERİ
RNPOL,İMALAT,İMALAT
RODRG,İMALAT,İMALAT
ROYAL,İMALAT,İMALAT
RTALB,İMALAT,İMALAT
RUBNS,İMALAT,İMALAT
RUZYE,MADENCİLİK VE TAŞ OCAKÇILIĞI,MADENCİLİK VE TAŞ OCAKÇILIĞI
RYGYO,MALİ KURULUŞLAR,MALİ KURULUŞLAR
RYSAS,ULAŞTIRMA VE DEPOLAMA,ULAŞTIRMA VE DEPOLAMA
SAFKR,İMALAT,İMALAT
SAHOL,MALİ KURULUŞLAR,MALİ KURULUŞLAR
SAMAT,,
